LABELS
SEPARATOR TAB
DATA
accession	name (group)
GCA_003950775.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950815.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950835.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950855.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950875.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950895.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950915.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950925.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950955.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950975.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003950995.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951015.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951035.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951045.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951075.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951275.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951285.1	Variovorax sp. 502 (Betaproteobacteria)
GCA_003951355.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951375.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951395.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951415.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951425.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951455.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951475.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951505.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951525.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951665.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951685.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951695.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951705.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951725.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951785.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951795.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951805.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951855.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951885.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951895.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951925.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951945.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003951955.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953025.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953035.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953045.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953055.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953125.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953135.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953145.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953155.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953205.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953225.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953235.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953255.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953265.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953275.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953325.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953345.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953355.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953365.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953405.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953425.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953445.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003953455.1	Sphingomonas koreensis (Alphaproteobacteria)
GCA_003957705.1	Bradyrhizobium sp. LVM 105 (Alphaproteobacteria)
GCA_003958635.1	Altererythrobacter xinjiangensis (Alphaproteobacteria)
GCA_003963395.1	Bradyrhizobiaceae bacterium (Alphaproteobacteria)
GCA_003963435.1	Bradyrhizobiaceae bacterium (Alphaproteobacteria)
GCA_003985045.1	Pandoraea apista (Betaproteobacteria)
GCA_003985065.1	Pandoraea apista (Betaproteobacteria)
GCA_003985075.1	Pandoraea apista (Betaproteobacteria)
GCA_003990445.1	Pararhodobacter sp. ZQ420 (Alphaproteobacteria)
GCA_004005845.1	Rhodospirillaceae bacterium Gri0909 (Alphaproteobacteria)
GCA_004011175.1	Tranquillimonas sp. M0103 (Alphaproteobacteria)
GCA_004022285.3	Bradyrhizobium yuanmingense (Alphaproteobacteria)
GCA_004022565.1	Pusillimonas sp. ye3 (Betaproteobacteria)
GCA_004114425.1	Bradyrhizobium vignae (Alphaproteobacteria)
GCA_004114435.1	Bradyrhizobium zhanjiangense (Alphaproteobacteria)
GCA_004114445.1	Bradyrhizobium guangzhouense (Alphaproteobacteria)
GCA_004114465.1	Bradyrhizobium zhanjiangense (Alphaproteobacteria)
GCA_004114475.1	Bradyrhizobium guangzhouense (Alphaproteobacteria)
GCA_004114485.1	Bradyrhizobium zhanjiangense (Alphaproteobacteria)
GCA_004114535.1	Bradyrhizobium nanningense (Alphaproteobacteria)
GCA_004114545.1	Bradyrhizobium nanningense (Alphaproteobacteria)
GCA_004114935.1	Bradyrhizobium zhanjiangense (Alphaproteobacteria)
GCA_004114955.1	Bradyrhizobium guangzhouense (Alphaproteobacteria)
GCA_004114975.1	Bradyrhizobium guangdongense (Alphaproteobacteria)
GCA_004123905.1	Bradyrhizobium betae (Alphaproteobacteria)
GCA_004144925.1	Comamonadaceae bacterium (Betaproteobacteria)
GCA_004145485.1	Comamonadaceae bacterium (Betaproteobacteria)
GCA_004151485.1	Sphingosinicella sp. CPCC 101087 (Alphaproteobacteria)
GCA_004152845.1	Sphingobium fuliginis (Alphaproteobacteria)
GCA_004152955.1	Bradyrhizobium elkanii (Alphaproteobacteria)
GCA_004153445.1	Pusillimonas soli (Betaproteobacteria)
GCA_004172925.1	Comamonadaceae bacterium (Betaproteobacteria)
GCA_004173945.1	Comamonadaceae bacterium (Betaproteobacteria)
GCA_004193435.1	Acetobacteraceae bacterium (Alphaproteobacteria)
GCA_004193485.1	Oxalobacteraceae bacterium (Betaproteobacteria)
GCA_004197395.1	Paraburkholderia sp. UYCP14C (Betaproteobacteria)
GCA_004210515.1	Pseudomonas sp. (Gammaproteobacteria)
GCA_004210645.1	Haliea sp. (Gammaproteobacteria)
GCA_004211435.1	Novosphingobium sp. (Alphaproteobacteria)
GCA_004212635.1	Bradyrhizobium genosp. SA-3 (Alphaproteobacteria)
GCA_004212675.1	Bradyrhizobium sp. Leo121 (Alphaproteobacteria)
GCA_004213065.1	Proteobacteria bacterium (Proteobacteria)
GCA_004213075.1	Rhodospirillaceae bacterium (Alphaproteobacteria)
GCA_004213885.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_004216635.1	Variibacter gotjawalensis (Alphaproteobacteria)
GCA_004216735.1	Bradyrhizobium sp. BK707 (Alphaproteobacteria)
GCA_004296405.1	Bradyrhizobium sp. Leo170 (Alphaproteobacteria)
GCA_004296815.1	Reyranella sp. (Alphaproteobacteria)
GCA_004296935.1	Reyranella sp. (Alphaproteobacteria)
GCA_004296945.1	Variovorax sp. (Betaproteobacteria)
GCA_004297015.1	Sphingobium sp. (Alphaproteobacteria)
GCA_004297265.1	Reyranella sp. (Alphaproteobacteria)
GCA_004297405.1	Reyranella sp. (Alphaproteobacteria)
GCA_004305355.1	Sphingobium xenophagum (Alphaproteobacteria)
GCA_004322585.1	Reyranella sp. (Alphaproteobacteria)
GCA_004336745.1	Roseococcus sp. SYP-B2431 (Alphaproteobacteria)
GCA_004343145.1	Bradyrhizobium sp. BM-T (Alphaproteobacteria)
GCA_004343615.1	Paracraurococcus sp. NE82 (Alphaproteobacteria)
GCA_004346395.1	Bradyrhizobium sp. Y-H1 (Alphaproteobacteria)
GCA_004346455.1	Bradyrhizobium sp. R2.2-H (Alphaproteobacteria)
GCA_004346585.1	Bradyrhizobium sp. W (Alphaproteobacteria)
GCA_004352985.1	Pigmentiphaga sp. D-2 (Betaproteobacteria)
GCA_004353985.1	Paracraurococcus ruber (Alphaproteobacteria)
GCA_004355005.1	Dankookia rubra (Alphaproteobacteria)
GCA_004356695.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_004356895.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_004357305.1	Gammaproteobacteria bacterium (Gammaproteobacteria)
GCA_004359355.1	Bradyrhizobium diazoefficiens (Alphaproteobacteria)
GCA_004365245.1	Paraburkholderia caballeronis (Betaproteobacteria)
GCA_004365795.1	Paraburkholderia caballeronis (Betaproteobacteria)
GCA_004366045.1	Paraburkholderia caballeronis (Betaproteobacteria)
GCA_004368685.1	Paraburkholderia caballeronis (Betaproteobacteria)
GCA_004570865.1	Bradyrhizobium sp. CNPSo 3426 (Alphaproteobacteria)
GCA_004571025.1	Bradyrhizobium sp. CNPSo 3448 (Alphaproteobacteria)
GCA_004571045.1	Bradyrhizobium sp. CNPSo 3424 (Alphaproteobacteria)
GCA_004634465.1	Bradyrhizobium sp. MOS001 (Alphaproteobacteria)
GCA_004681965.1	Ramlibacter rhizophilus (Betaproteobacteria)
GCA_004682015.1	Ramlibacter henchirensis (Betaproteobacteria)
GCA_004761865.1	Crenalkalicoccus roseus (Alphaproteobacteria)
GCA_004768465.1	natronospirillum operossus (Unclassified)
GCA_004768545.1	Cupriavidus oxalaticus (Betaproteobacteria)
GCA_004799405.1	Bradyrhizobium sp. (Alphaproteobacteria)
GCA_004799445.1	Bradyrhizobium sp. (Alphaproteobacteria)
GCA_004965515.1	Altererythrobacter sp. SSKS-13 (Alphaproteobacteria)
GCA_005222755.1	Roseomonas sp. HF4 (Alphaproteobacteria)
GCA_005222815.1	Roseomonas sp. AR75 (Alphaproteobacteria)
GCA_005240145.1	Nitrosomonadales bacterium (Betaproteobacteria)
GCA_005298095.1	Bradyrhizobium elkanii (Alphaproteobacteria)
GCA_005406185.1	Sphingobium sp. RSMS (Alphaproteobacteria)
GCA_005434915.1	Erythrobacter sp. GH3-15 (Alphaproteobacteria)
GCA_005503065.1	Comamonadaceae bacterium ALPHA2B (Betaproteobacteria)
GCA_005503365.1	Hydrogenophaga sp. 2FB (Betaproteobacteria)
GCA_005768645.1	Bradyrhizobium icense (Alphaproteobacteria)
GCA_005772685.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005773495.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005776565.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005777245.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005777635.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005777685.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005778255.1	Proteobacteria bacterium (Proteobacteria)
GCA_005778645.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005778665.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005786825.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005787245.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005788375.1	Alcaligenaceae bacterium (Betaproteobacteria)
GCA_005788965.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005789685.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005790745.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005792555.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005792595.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005793415.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005797925.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005797945.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005798095.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005798725.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005798775.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005799755.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005800795.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005800875.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005801055.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005801285.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005803925.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005804215.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005804685.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005804695.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_005804965.1	Proteobacteria bacterium (Proteobacteria)
GCA_005805225.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005881785.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_005882155.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_005882425.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005882475.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005882865.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_005883105.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005883135.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005883445.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005884345.1	Betaproteobacteria bacterium (Betaproteobacteria)
GCA_005884465.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005884685.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005884705.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005884745.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005884765.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005884855.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005885285.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005887895.1	Candidatus Rokubacteria bacterium (Candidatus Rokubacteria)
GCA_005888495.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005888515.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005888525.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_005888555.1	Alphaproteobacteria bacterium (Alphaproteobacteria)
GCA_006363875.1	Sphingobium fuliginis ATCC 27551 (Alphaproteobacteria)
GCA_006439015.1	Mycolicibacterium hodleri (Actinobacteria)
GCA_006459165.1	Bradyrhizobium sp. 3 (Alphaproteobacteria)
GCA_006483445.1	Bradyrhizobium guangdongense (Alphaproteobacteria)
GCA_006519655.1	Bradyrhizobium sp. USDA 3456 (Alphaproteobacteria)
GCA_006519675.1	Bradyrhizobium sp. 3458 (Alphaproteobacteria)
GCA_006539645.1	Bradyrhizobium japonicum (Alphaproteobacteria)
GCA_006539665.1	Bradyrhizobium elkanii (Alphaproteobacteria)
GCA_006658625.1	Bradyrhizobium sp. UNPF46 (Alphaproteobacteria)
GCA_006658635.1	Bradyrhizobium sp. UNPA324 (Alphaproteobacteria)
GCA_006738645.1	Stella humosa (Alphaproteobacteria)
GCA_006738865.1	Stella sp. ATCC 35155 (Alphaproteobacteria)
GCA_006739055.1	Stella vacuolata (Alphaproteobacteria)
GCA_007116135.1	Burkholderiaceae bacterium (Betaproteobacteria)
GCA_007290395.1	Bradyrhizobium sp. 58S1 (Alphaproteobacteria)
GCA_007558815.1	Verticiella sediminum (Betaproteobacteria)
GCA_007644105.1	Elioraea sp. PF-30 (Alphaproteobacteria)
GCA_900011245.1	Bradyrhizobium sp. (Alphaproteobacteria)
GCA_900011265.1	Bradyrhizobium sp. G22 (Alphaproteobacteria)
GCA_900078705.1	Bordetella ansorpii (Betaproteobacteria)
GCA_900079095.1	Candidatus Entotheonella palauensis (Candidatus Tectomicrobia)
GCA_900079105.1	Candidatus Entotheonella palauensis (Candidatus Tectomicrobia)
GCA_900094575.1	Bradyrhizobium yuanmingense (Alphaproteobacteria)
GCA_900094605.1	Bradyrhizobium shewense (Alphaproteobacteria)
GCA_900099825.1	Bradyrhizobium ottawaense (Alphaproteobacteria)
GCA_900099855.1	Bradyrhizobium sp. Rc2d (Alphaproteobacteria)
GCA_900100915.1	Burkholderia cenocepacia (Betaproteobacteria)
GCA_900101405.1	Bradyrhizobium sp. R5 (Alphaproteobacteria)
GCA_900101615.1	Belnapia rosea (Alphaproteobacteria)
GCA_900102945.1	Halomonas muralis (Gammaproteobacteria)
GCA_900103365.1	Afipia sp. GAS231 (Alphaproteobacteria)
GCA_900104005.1	Paraburkholderia sediminicola (Betaproteobacteria)
GCA_900104205.1	Belnapia rosea (Alphaproteobacteria)
GCA_900104755.1	Bradyrhizobium lablabi (Alphaproteobacteria)
GCA_900104845.1	Paraburkholderia caballeronis (Betaproteobacteria)
GCA_900105125.1	Bradyrhizobium canariense (Alphaproteobacteria)
GCA_900105845.1	Bradyrhizobium erythrophlei (Alphaproteobacteria)
GCA_900107745.1	Variovorax sp. YR216 (Betaproteobacteria)
GCA_900108355.1	Paraburkholderia hospita (Betaproteobacteria)
GCA_900108575.1	Tardiphaga sp. OK245 (Alphaproteobacteria)
GCA_900109675.1	Paraburkholderia caballeronis (Betaproteobacteria)
GCA_900109945.1	Bradyrhizobium sp. OK095 (Alphaproteobacteria)
GCA_900110395.1	Rhodospirillales bacterium URHD0017 (Alphaproteobacteria)
GCA_900113725.1	Bradyrhizobium sp. cf659 (Alphaproteobacteria)
GCA_900113735.1	Bradyrhizobium sp. Gha (Alphaproteobacteria)
GCA_900114315.1	Roseomonas stagni DSM 19981 (Alphaproteobacteria)
GCA_900114605.1	Bradyrhizobium sp. NFR13 (Alphaproteobacteria)
GCA_900114695.1	Marinobacter sp. DSM 26291 (Gammaproteobacteria)
GCA_900114915.1	Bradyrhizobium sp. Rc3b (Alphaproteobacteria)
GCA_900115265.1	Bradyrhizobium sp. Ghvi (Alphaproteobacteria)
GCA_900115375.1	Variovorax sp. PDC80 (Betaproteobacteria)
GCA_900116675.1	Bradyrhizobium arachidis (Alphaproteobacteria)
GCA_900117415.1	Hyphomicrobium sp. CS1BSMeth3 (Alphaproteobacteria)
GCA_900129425.1	Bradyrhizobium erythrophlei (Alphaproteobacteria)
GCA_900129505.1	Bradyrhizobium erythrophlei (Alphaproteobacteria)
GCA_900129675.1	Bradyrhizobium erythrophlei (Alphaproteobacteria)
GCA_900141755.1	Bradyrhizobium lablabi (Alphaproteobacteria)
GCA_900141905.1	Roseomonas rosea (Alphaproteobacteria)
GCA_900142195.1	Paraburkholderia terricola (Betaproteobacteria)
GCA_900142345.1	Bradyrhizobium lablabi (Alphaproteobacteria)
GCA_900142985.1	Bradyrhizobium erythrophlei (Alphaproteobacteria)
GCA_900167455.1	Enhydrobacter aerosaccus (Alphaproteobacteria)
GCA_900176205.1	Bradyrhizobium sp. ORS 285 (Alphaproteobacteria)
GCA_900188215.1	Tardiphaga sp. OK246 (Alphaproteobacteria)
GCA_900290335.1	Burkholderiales bacterium (Betaproteobacteria)
GCA_900324035.1	Bradyrhizobium sp. ORS 3257 (Alphaproteobacteria)
GCA_900444675.1	Achromobacter denitrificans (Betaproteobacteria)
GCA_900454575.1	Pandoraea pulmonicola (Betaproteobacteria)
GCA_900496965.1	Achromobacter agilis (Betaproteobacteria)
GCA_900637265.1	Achromobacter insolitus (Betaproteobacteria)
GCA_900696075.2	Bradyrhizobium sp. CI-41S (Alphaproteobacteria)
GCA_900696085.2	Bradyrhizobium sp. CI-1B (Alphaproteobacteria)
2519103005	Betaproteobacteria (Betaproteobacteria)
2524023174	Betaproteobacteria (Betaproteobacteria)
2582580515	Betaproteobacteria (Betaproteobacteria)
2582580538	Betaproteobacteria (Betaproteobacteria)
2582580633	Betaproteobacteria (Betaproteobacteria)
2582580700	Betaproteobacteria (Betaproteobacteria)
2619618801	Betaproteobacteria (Betaproteobacteria)
2619618802	Betaproteobacteria (Betaproteobacteria)
2739367610	Betaproteobacteria (Betaproteobacteria)
2739367611	Betaproteobacteria (Betaproteobacteria)
K_DeepCast_150m_m1_387	Betaproteobacteria (Betaproteobacteria)
K_DeepCast_250m_m1_099	Alphaproteobacteria (Alphaproteobacteria)
K_DeepCast_250m_m2_101	Alphaproteobacteria (Alphaproteobacteria)
K_DeepCast_35m_m1_317	Alphaproteobacteria (Alphaproteobacteria)
K_DeepCast_35m_m2_067	Alphaproteobacteria (Alphaproteobacteria)
K_DeepCast_35m_m2_271	Alphaproteobacteria (Alphaproteobacteria)
K_DeepCast_35m_m2_271	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_120m_m1_138	Gammaproteobacteria (Gammaproteobacteria)
K_Offshore_120m_m2_043	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_120m_m2_043	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_120m_m2_141	Betaproteobacteria (Betaproteobacteria)
K_Offshore_40m_m1_259	Betaproteobacteria (Betaproteobacteria)
K_Offshore_40m_m1_292	Betaproteobacteria (Betaproteobacteria)
K_Offshore_40m_m2_080	Betaproteobacteria (Betaproteobacteria)
K_Offshore_40m_m2_080	Betaproteobacteria (Betaproteobacteria)
K_Offshore_40m_mx_105	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_40m_mx_120	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_40m_mx_206	Betaproteobacteria (Betaproteobacteria)
K_Offshore_80m_m1_144	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m1_178	Betaproteobacteria (Betaproteobacteria)
K_Offshore_80m_m2_003	Fibrobacteres acidobacteria (Fibrobacteres)
K_Offshore_80m_m2_049	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m2_051	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m2_081	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m2_107	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m2_113	Betaproteobacteria (Betaproteobacteria)
K_Offshore_80m_m2_139	Betaproteobacteria (Betaproteobacteria)
K_Offshore_80m_m2_139	Betaproteobacteria (Betaproteobacteria)
K_Offshore_80m_m2_146	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m2_162	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m2_186	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m2_186	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m2_191	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_80m_m2_194	Deltaproteobacteria (Deltaproteobacteria)
K_Offshore_80m_m2_228	Alphaproteobacteria (Alphaproteobacteria)
K_Offshore_surface_m1_194	Alphaproteobacteria (Alphaproteobacteria)
M_DeepCast_200m_m2_174	Alphaproteobacteria (Alphaproteobacteria)
M_DeepCast_400m_m1_040	Alphaproteobacteria (Alphaproteobacteria)
M_DeepCast_50m_m1_133	CP Rokubacteria (Candidatus Rokubacteria)
M_DeepCast_50m_m1_244	CP Rokubacteria (Candidatus Rokubacteria)
M_DeepCast_50m_m2_111	Alphaproteobacteria (Alphaproteobacteria)
M_DeepCast_50m_m2_111	Alphaproteobacteria (Alphaproteobacteria)
M_DeepCast_65m_m2_129	Alphaproteobacteria (Alphaproteobacteria)
M_surface_10_m2_141	Gammaproteobacteria (Gammaproteobacteria)
M_surface_10_m2_180	Alphaproteobacteria (Alphaproteobacteria)
M_surface_10_mx_057	Gammaproteobacteria (Gammaproteobacteria)
M_surface_7_m1_304	Betaproteobacteria (Betaproteobacteria)
M_surface_7_m1_304	Betaproteobacteria (Betaproteobacteria)
M_surface_9_m2_109	Alphaproteobacteria (Alphaproteobacteria)
